Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Newham - Wall End	25.239121648929	6.5	82.2	59.8	29.7
Wandsworth - Saint Mary's Park	13.9164049287267	10.4	28.2	38.9	11.3
Tower Hamlets - Bow East	17.4616061159597	7.4	39.9	30.9	10.9
Redbridge - Loxford	29.0256286266925	7.5	83.5	53.2	23.7
Enfield - Town	20.1730846638937	14.9	18	17.1	4.4
Newham - Custom House	24.0548803221236	6.6	53.5	46.9	19.6
Hillingdon - West Drayton	22.7557411273486	11.5	33.5	27.6	9.2
Bexley - Barnehurst	18.9671722019581	18.2	9.8	8	1.3
Lewisham - Crofton Park	19.5353819374707	9.1	39.6	30.1	7
Richmond upon Thames - Fulwell & Hampton Hill	21.133155660843	12.5	9.9	16.7	4
Barnet - Edgware	23.3201817312291	13.8	39.2	37.4	12.1
Hackney - Leabridge	21.091245815229	7	52.7	40.7	17.3
Brent - Brondesbury Park	16.7933655839668	12.1	43.8	47.2	16.2
Hounslow - Hanworth	24.2040312628548	11	32.4	28.9	11.3
Wandsworth - Furzedown	22.0459236326109	9.8	43.1	36.7	12.9
Westminster - Church Street	23.1632653061224	11.4	61.7	52.7	27.2
Bexley - Saint Mary's	18.139357544562	21	8.4	8.1	1.1
Barnet - Woodhouse	18.7482219061166	13.6	37.6	41	16.2
Bromley - Penge & Cator	20.8011081611451	9.7	34.6	25.8	6.4
Brent - Alperton	19.0054933295284	9.5	81.8	66.8	32.3
Newham - West Ham	21.5998971127259	7	65.5	51.2	22.1
Barnet - East Barnet	20.7225630538514	13.7	23.4	23.4	7.2
Barking & Dagenham - Eastbury	26.9184445973847	9.5	41.7	32.2	11.9
Wandsworth - Balham	15.687072062911	7.8	19.4	28.5	6.5
Southwark - Livesey	23.5685469601529	9.1	62.2	44.3	11.9
Bexley - North End	26.8026975618191	10.6	27	18.8	3.3
Sutton - Cheam	19.8249878463782	19.7	21.2	18.6	3.3
Lambeth - Vassall	18.0159796365693	7.2	52.7	40	12.1
Tower Hamlets - Mile End & Globe Town	18.8940092165899	6.6	52.6	40.6	16.4
Greenwich - Woolwich Riverside	23.6297071129707	6.2	49	39.4	13.3
Harrow - Wealdstone	23.4246094435668	11	62.6	46.9	18.3
Wandsworth - Fairfield	12.6736467528913	6.7	22.1	32.5	7.1
Haringey - Muswell Hill	17.8783382789318	12.1	16.2	26.1	7
Barnet - High Barnet	18.4556085451101	16.5	18.3	22.1	6.3
Haringey - Highgate	15.3627922971114	11.7	18.9	31.5	8.2
